=== INPUT DATA ===
Chainage: 46.02, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 46.18, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 46.49, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 46.61, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 46.81, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 46.89, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 47.38, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 47.59, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 47.59, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 47.92, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 48.08, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 48.34, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 48.59, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 48.72, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 49.07, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 49.07, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 49.16, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 49.55, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 49.78, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 50, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 50, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 50.49, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 50.63, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 50.85, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 51.27, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 51.27, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 51.59, Roll: 0, Pitch: -2.547, Yaw: 238.058, Slope: 0
Chainage: 51.97, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 52.2, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 52.44, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 52.44, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 52.87, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 53.11, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 53.3, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 53.45, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 53.74, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 54.03, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 54.43, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 54.43, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 54.69, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 54.99, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 55.36, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 55.46, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 55.67, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 56.1, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 56.37, Roll: 0, Pitch: -2.701, Yaw: 258.625, Slope: 0
Chainage: 56.69, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 57.02, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 57.13, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 57.24, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 57.75, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 58.14, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 58.26, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 58.26, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 58.95, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 59.24, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 59.6, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 59.6, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 59.78, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 60.32, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 60.88, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 60.88, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 61.13, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 61.57, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
Chainage: 61.76, Roll: 0, Pitch: -2.624, Yaw: 273.318, Slope: 0
